iter	Passed	Remaining
0	149	17835
1	151	8942
2	153	5986
3	155	4507
4	157	3618
5	159	3026
6	160	2598
7	163	2283
8	165	2035
9	167	1839
10	169	1674
11	170	1538
12	172	1419
13	173	1317
14	175	1231
15	177	1153
16	178	1081
17	179	1018
18	180	959
19	181	907
20	182	860
21	183	818
22	184	778
23	185	742
24	186	708
25	187	677
26	188	648
27	189	621
28	190	596
29	190	572
30	191	551
31	192	530
32	193	511
33	194	492
34	195	475
35	196	458
36	197	443
37	198	428
38	199	414
39	200	400
40	201	387
41	201	374
42	202	363
43	203	351
44	204	340
45	205	330
46	206	320
47	206	310
48	207	301
49	208	292
50	209	283
51	210	275
52	211	267
53	212	259
54	213	252
55	214	244
56	215	237
57	216	231
58	217	224
59	218	218
60	219	212
61	220	205
62	220	199
63	221	194
64	222	188
65	223	183
66	224	177
67	225	172
68	226	167
69	227	162
70	228	157
71	229	153
72	230	148
73	231	143
74	232	139
75	233	135
76	234	130
77	235	126
78	236	122
79	237	118
80	238	114
81	239	110
82	240	106
83	240	103
84	241	99
85	242	95
86	243	92
87	244	88
88	245	85
89	246	82
90	246	78
91	247	75
92	248	72
93	249	69
94	250	65
95	251	62
96	252	59
97	252	56
98	253	53
99	254	50
100	255	48
101	256	45
102	257	42
103	258	39
104	259	37
105	260	34
106	261	31
107	261	29
108	262	26
109	263	23
110	264	21
111	265	18
112	266	16
113	267	14
114	267	11
115	268	9
116	269	6
117	270	4
118	271	2
119	272	0
